truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct_x10,7,210,6,9,1865.25426953371,1920.0808842937188,54.82661476000885,0.0019200808842937188,False
gengamma,2021_10pct_x10,7,230,6,9,1840.681142262052,1892.1548505934695,51.47370833141758,0.0018921548505934694,False
gengamma,2021_10pct_x10,7,250,6,9,1841.154551070768,1888.6709030865084,47.51635201574027,0.0018886709030865082,False
gengamma,2021_10pct_x10,8,50,6,9,2068.51083203589,2076.9804267414397,8.469594705549753,0.0020769804267414395,False
gengamma,2021_10pct_x10,8,70,6,9,2008.395018937244,2041.4843664621776,33.0893475249336,0.0020414843664621775,False
gengamma,2021_10pct_x10,8,90,6,9,1986.5491797248387,2028.4098580224031,41.86067829756439,0.002028409858022403,False
gengamma,2021_10pct_x10,8,110,6,9,1954.737258065078,2001.6166874984992,46.87942943342114,0.002001616687498499,False
gengamma,2021_10pct_x10,8,130,6,9,1944.9570995656773,1994.1224739843956,49.16537441871833,0.0019941224739843957,False
gengamma,2021_10pct_x10,8,150,6,9,1916.977383953338,1966.8825242505452,49.905140297207254,0.001966882524250545,False
gengamma,2021_10pct_x10,8,170,6,9,1911.3040909101624,1958.7774730071692,47.473382097006834,0.001958777473007169,False
gengamma,2021_10pct_x10,8,190,6,9,1899.0078783175072,1946.9866053755063,47.978727057999095,0.0019469866053755062,False
gengamma,2021_10pct_x10,8,210,6,9,1894.161393588154,1940.5956392428911,46.4342456547372,0.001940595639242891,False
gengamma,2021_10pct_x10,8,230,6,9,1876.7472577543708,1918.930348971331,42.183091216960065,0.001918930348971331,False
gengamma,2021_10pct_x10,8,250,6,9,1866.309060338085,1906.5716243111217,40.26256397303678,0.0019065716243111216,False
gengamma,2021_10pct_x10,9,50,6,9,2062.0150658262105,2071.5158097876724,9.500743961461922,0.002071515809787672,False
gengamma,2021_10pct_x10,9,70,6,9,2002.1727870042223,2030.3612022428167,28.188415238594416,0.0020303612022428167,False
gengamma,2021_10pct_x10,9,90,6,9,1965.6890082920145,2009.7013395281735,44.01233123615907,0.0020097013395281734,False
gengamma,2021_10pct_x10,9,110,6,9,1948.6000364105976,2001.1245621023104,52.524525691712824,0.0020011245621023104,False
gengamma,2021_10pct_x10,9,130,6,9,1932.581075893516,1989.499224702594,56.91814880907782,0.001989499224702594,False
gengamma,2021_10pct_x10,9,150,6,9,1908.838326758514,1965.900263756428,57.06193699791402,0.001965900263756428,False
gengamma,2021_10pct_x10,9,170,6,9,1894.4148452117884,1950.522691459125,56.10784624733674,0.001950522691459125,False
gengamma,2021_10pct_x10,9,190,6,9,1884.916890269903,1937.9435924297968,53.02670215989383,0.0019379435924297968,False
gengamma,2021_10pct_x10,9,210,6,9,1876.667806167665,1925.37750075004,48.70969458237505,0.00192537750075004,False
gengamma,2021_10pct_x10,9,230,6,9,1870.018415868125,1917.786094167589,47.76767829946402,0.001917786094167589,False
gengamma,2021_10pct_x10,9,250,6,9,1858.4917878849917,1901.416683116582,42.9248952315902,0.001901416683116582,False
gengamma,2021_1pct,0,50,6,9,1165.536096694495,1172.936708187945,7.400611493450015,0.001172936708187945,False
gengamma,2021_1pct,0,70,6,9,1117.919875155145,1145.9737793415068,28.053904186361706,0.0011459737793415067,False
gengamma,2021_1pct,0,90,6,9,1096.3651843259672,1132.657514833911,36.29233050794369,0.0011326575148339108,False
gengamma,2021_1pct,0,110,6,9,1085.4732625859792,1125.226255480541,39.752992894561885,0.001125226255480541,False
gengamma,2021_1pct,0,130,6,9,1070.1032300350057,1111.9094796840252,41.80624964901949,0.0011119094796840253,False
gengamma,2021_1pct,0,150,6,9,1060.0036088357797,1102.4222684947304,42.41865965895067,0.0011024222684947304,False
gengamma,2021_1pct,0,170,6,9,1058.4097973823375,1099.7893432895785,41.37954590724098,0.0010997893432895785,False
gengamma,2021_1pct,0,190,6,9,1053.4224669803752,1093.9492653484854,40.52679836811012,0.0010939492653484852,False
gengamma,2021_1pct,0,210,6,9,1050.8533713184113,1089.8068556665132,38.95348434810194,0.0010898068556665131,False
gengamma,2021_1pct,0,230,6,9,1053.65071594245,1091.3774820904491,37.726766147999115,0.001091377482090449,False
gengamma,2021_1pct,0,250,6,9,1057.4978353629513,1093.3413383030331,35.84350294008186,0.001093341338303033,False
gengamma,2021_1pct,1,50,6,9,1187.5353159659387,1206.7005242583916,19.165208292452917,0.0012067005242583915,False
